Reference;Quantity;Value;Footprint;Datasheet;Manufacturer;MPN;SKU;C;Tol;Vmax;Type;Res;Pwr
A1 ;1;ART;pluggee:pluggeeLabsIcon-11x6;
C10 ;1;CC0603KRX7R9BB103;Main:CAPC0603;;Yageo;CC0603KRX7R9BB103;GENERIC;10.0 nF;±10%;50.0V;X7R;;
C3 ;1;47uF;Capacitors_SMD:c_elec_8x6.5;;Nichicon;UWX1V470MCL1GB;STUFF;47 µF;±20%;35V;Aluminum;;
C1 C12 C5 C7 ;4;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;GENERIC;100 nF;±10%;50.0V;X7R;;
C112 C14 C9 ;3;CC0603KRX5R6BB105;Main:CAPC0603;;Yageo;CC0603KRX5R6BB105;GENERIC;1.00 µF;±10%;10.0V;X5R;;
FID1 FID2 FID3 FID4 FID5 FID6 ;6;FIDTOP001;Main:FIDTOP001;
J1 ;1;PCIEXPRESS-X1;Main:PCIEXPRESS-X1;;Amphenol FCI;10018784-10200TLF;STUFF;;;;;;
J2 ;1;CONN_01X04;Main:70553-0038;;Molex;70553-0038;STUFF;;;;;;
JMASTER1 JSLAVE1 ;2;SOCKMALE_02x03;Main:SOCKET127P-02X03;;Sullins Connector Solutions;GRPB032MWCN-RC;GENERIC;;;;;;
Q1 ;1;Q_NMOS_GSD;Main:SOT190P290X130X100-3;;NXP USA Inc.;2N7002P,215;STUFF;;;;;;
R120 R121 ;2;RC0603FR-07100KL;Main:RESC0603;;Yageo;RC0603FR-07100KL;STUFF;;±1%;;;100 kΩ;100 mW
R15 ;1;ERJ-8CWFR050V;Main:RESC1206;;Panasonic Electronic Components;ERJ-8CWFR050V;GENERIC;;±1%;;;0.05 Ω;1W
R18 R4 ;2;RC0603FR-072K8L;Main:RESC0603;;Yageo;RC0603FR-072K8L;GENERIC;;±1%;;;2.80 kΩ;100 mW
R1 R10 R11 R12 R13 R14 R16 R17 R2 R6 R7 ;11;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;GENERIC;;±1%;;;10.0 kΩ;100 mW
R3 ;1;RC0603FR-071ML;Main:RESC0603;;Yageo;RC0603FR-071ML;GENERIC;;±1%;;;1.00 MΩ;100 mW
R19 R8 ;2;RC0603FR-071KL;Main:RESC0603;;Yageo;RC0603FR-071KL;GENERIC;;±1%;;;1.00 kΩ;100 mW
R5 R9 ;2;RHC2512FTR250;Main:RESC2512;;Stackpole Electronics Inc.;RHC2512FTR250;GENERIC;;±1%;;;0.25 Ω;2W
TP1 TP2 TP3 TP4 ;4;TestPoint;Main:TestPoint000;
U1 ;1;DRV8825;Main:SOP65P970X440X120-28NT518X310;;Texas Instruments;DRV8825PWPR;STUFF;;;;;;
U2 ;1;74LS157;Main:SOP65P620X530X200-16;;NXP Semiconductors;74LVC157APW,118;STUFF;;;;;;
U3 ;1;EFM8BB10F8G;Main:QFN50P300X300X75-20NT170X170;;Silicon Labs;EFM8BB10F8G-A-QFN20R;STUFF;;;;;;
U4 ;1;ZXCT1107;Main:SOT190P290X130X100-3;;Diodes Incorporated;ZXCT1107SA-7;STUFF;;;;;;
